 alpha=   1.25000000000000      ma=  0.800000000000000     
       0.92828953       0.93255704      -0.27709458       3.06623532  
       0.79594896       0.91854128       0.27935087       2.65854296  
       0.93463821       0.96126911      -0.25256225       3.10181174  
       0.80127081       0.95057839       0.25452129       2.69699663  
       0.91563745       0.94492094      -0.25061621       3.02976562  
       0.78011312       0.92600988       0.24864576       2.61144410  
       0.82071069       0.90841998       0.31013731       2.73011967  
       0.94981681       0.91426720      -0.30200934       3.12637765  
       0.95548985       0.94406659      -0.28166408       3.16292841  
       0.82821185       0.94210007       0.28489599       2.77739806  
       0.94710477       0.98153399      -0.26212326       3.13657277  
       0.81803121       0.97986261       0.27081109       2.75645448  
       0.79446865       0.95838307       0.22529336       2.67689311  
       0.91863212       0.97410872      -0.23035284       3.05625473  
       0.84948576       0.89048709       0.34804050       2.81192534  
       0.97444437       0.88819262      -0.33240283       3.19457303  
       0.89574947       0.95920213      -0.22236202       2.97242885  
       0.77387436       0.93378426       0.22088020       2.59411251  
       0.98210615       0.92116135      -0.31236924       3.24127242  
       0.86097372       0.92929228       0.32100364       2.87637509  
       0.96403201       0.96841752      -0.28248143       3.18412930  
       0.84044779       0.97378970       0.29899734       2.82281547  
       0.96366385       0.98473777      -0.26720387       3.19005319  
       0.83876257       0.99350166       0.28411055       2.82949639  
       0.94693560       0.99653965      -0.24281135       3.14186889  
       0.82410585       1.00052556       0.25086254       2.78554885  
       0.80689725       0.98638291       0.24404123       2.72374398  
       0.93131070       0.99286494      -0.23691694       3.09051224  
       1.00799166       0.84265297      -0.37073172       3.28594788  
       0.87628797       0.85877973       0.39882898       2.88519198  
       0.78199613       0.96318406       0.20348454       2.64043730  
       0.90077868       0.98497981      -0.20706994       3.00428009  
       0.76089720       0.93832730       0.19669572       2.55606766  
       0.88082510       0.96840557      -0.20077490       2.92935900  
       0.89932930       0.90910117       0.36260020       2.99265968  
       1.01687004       0.88768113      -0.34790589       3.34420453  
       0.99147745       0.94524973      -0.30540024       3.25893366  
       0.87410571       0.96087081       0.33009202       2.91761795  
       1.28841198       0.25604536       0.45768113       4.11022282  
       1.31034153       0.16252741      -0.28754058       4.15868360  
       0.91428452       0.80192470       0.46255466       2.98759465  
       1.04418351       0.77641888      -0.40982668       3.38181410  
       0.95588308       0.98891173      -0.24287541       3.16255335  
       0.83607288       1.00132794       0.25976477       2.81737008  
       0.99442591       0.96795862      -0.29532764       3.28186480  
       0.87913543       0.98812676       0.32101146       2.95371054  
       0.92838339       1.00784012      -0.22303272       3.08941679  
       0.81120887       1.00502578       0.22740787       2.74739621  
       0.96927456       0.98157259      -0.26193795       3.20392344  
       0.85113609       0.99736911       0.28523328       2.86521759  
       0.91105871       1.00238077      -0.21444591       3.03098760  
       0.79462091       0.99076271       0.21943997       2.68709476  
